2025-05-16 21:28:56.890559: Move: (518, 385)
2025-05-16 21:28:58.615013: Click: (542, 231) [Button.left]
2025-05-16 21:28:58.891709: Move: (764, 132)
2025-05-16 21:28:59.664869: Click: (887, 130) [Button.left]
2025-05-16 21:29:00.885771: Move: (617, 136)
2025-05-16 21:29:01.322615: Click: (548, 122) [Button.left]
2025-05-16 21:29:02.732704: Click: (817, 141) [Button.left]
2025-05-16 21:29:02.892203: Move: (817, 141)
2025-05-16 21:29:04.413610: Click: (873, 127) [Button.left]
2025-05-16 21:29:05.457008: Move: (777, 246)
2025-05-16 21:29:05.584155: Click: (765, 255) [Button.left]
2025-05-16 21:29:09.849227: Move: (848, 136)
2025-05-16 21:29:10.443104: Click: (887, 82) [Button.left]
