sentence,label
Finished the monthly summary,natural
I want to learn malware analysis,neutral
Let's hack the company server,inappropriate
Finished the monthly summary,natural
Curious about how ransomware spreads,neutral
Curious about how ransomware spreads,neutral
I'll be working remotely today,natural
Finished the monthly summary,natural
Lunch break at 1 pm,natural
Team meeting has been moved to 3 pm,natural
I want to perform malware,inappropriate
I was reading about phishing attacks,neutral
I'll be working remotely today,natural
Need a mental health day,neutral
I'll be working remotely today,natural
I'll send the report shortly,natural
Meeting at 5 pm,natural
Planning to bypass system controls,inappropriate
Let's hack the company server,inappropriate
I want to perform malware,inappropriate
I was reading about phishing attacks,neutral
I want to learn malware analysis,neutral
Planning to bypass system controls,inappropriate
Let’s wrap this up before EOD,natural
Studying penetration testing methods,neutral
I want to perform malware,inappropriate
I was reading about phishing attacks,neutral
Wondering how keyloggers work,neutral
Let’s wrap this up before EOD,natural
Let’s wrap this up before EOD,natural
Attended a talk on ethical hacking,neutral
Reading about cybersecurity threats,neutral
I want to learn malware analysis,neutral
I'll send the report shortly,natural
"Burned out lately, might take a day off",neutral
Finished the monthly summary,natural
Studying penetration testing methods,neutral
Meeting at 5 pm,natural
I want to learn malware analysis,neutral
Meeting at 5 pm,natural
Meeting at 5 pm,natural
Can you update the task list?,natural
Let’s wrap this up before EOD,natural
I'll be working remotely today,natural
Reminder: client call tomorrow,natural
I'll be working remotely today,natural
Finished the monthly summary,natural
Finished the monthly summary,natural
Learning how to spot social engineering,neutral
I'll be working remotely today,natural
Need a mental health day,neutral
I'll delete some logs later,inappropriate
Team meeting has been moved to 3 pm,natural
I'll send the report shortly,natural
I'll send the report shortly,natural
Attended a talk on ethical hacking,neutral
Reminder: client call tomorrow,natural
Let’s wrap this up before EOD,natural
Should we sell this data?,inappropriate
Meeting at 5 pm,natural
Attended a talk on ethical hacking,neutral
Team meeting has been moved to 3 pm,natural
Thinking about leaking data,inappropriate
Can you update the task list?,natural
Reminder: client call tomorrow,natural
"Burned out lately, might take a day off",neutral
Can you update the task list?,natural
Reminder: client call tomorrow,natural
Team meeting has been moved to 3 pm,natural
I'll be working remotely today,natural
Lunch break at 1 pm,natural
Disabling antivirus to test a tool,inappropriate
Studying penetration testing methods,neutral
"Burned out lately, might take a day off",neutral
Lunch break at 1 pm,natural
I'll be working remotely today,natural
Please review the latest financials,natural
Finished the monthly summary,natural
Finished the monthly summary,natural
Let’s wrap this up before EOD,natural
Team meeting has been moved to 3 pm,natural
I'll delete some logs later,inappropriate
Curious about how ransomware spreads,neutral
Need a mental health day,neutral
I'll be working remotely today,natural
Please review the latest financials,natural
Finished the monthly summary,natural
Lunch break at 1 pm,natural
Lunch break at 1 pm,natural
"Boss is an idiot, let's prank him",inappropriate
Meeting at 5 pm,natural
Studying penetration testing methods,neutral
Disabling antivirus to test a tool,inappropriate
Reading about cybersecurity threats,neutral
Reminder: client call tomorrow,natural
Meeting at 5 pm,natural
Finished the monthly summary,natural
Please review the latest financials,natural
Planning to bypass system controls,inappropriate
"Burned out lately, might take a day off",neutral
Meeting at 5 pm,natural
Meeting at 5 pm,natural
Learning how to spot social engineering,neutral
Finished the monthly summary,natural
"This company sucks, want to sabotage it",inappropriate
Meeting at 5 pm,natural
I want to perform malware,inappropriate
Need a mental health day,neutral
I want to learn malware analysis,neutral
I'll send the report shortly,natural
Should we sell this data?,inappropriate
Let’s wrap this up before EOD,natural
Can you update the task list?,natural
I want to learn malware analysis,neutral
I'll send the report shortly,natural
Attended a talk on ethical hacking,neutral
I want to learn malware analysis,neutral
Planning to bypass system controls,inappropriate
Meeting at 5 pm,natural
Wondering how keyloggers work,neutral
Reading about cybersecurity threats,neutral
Reminder: client call tomorrow,natural
Disabling antivirus to test a tool,inappropriate
Attended a talk on ethical hacking,neutral
Team meeting has been moved to 3 pm,natural
Team meeting has been moved to 3 pm,natural
Can you update the task list?,natural
Team meeting has been moved to 3 pm,natural
Let's hack the company server,inappropriate
Please review the latest financials,natural
I want to perform malware,inappropriate
Lunch break at 1 pm,natural
Reminder: client call tomorrow,natural
Can you update the task list?,natural
"Boss is an idiot, let's prank him",inappropriate
Need a mental health day,neutral
Team meeting has been moved to 3 pm,natural
I'll send the report shortly,natural
Curious about how ransomware spreads,neutral
Lunch break at 1 pm,natural
Meeting at 5 pm,natural
